trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
296,False,"{'a': 0.01, 'e': 0.05181891717272583}",25,14,21.63774082315185,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.01, 'e': 0.05130331033191911}",20,0,17.714493513861107,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
298,False,"{'a': 0.01, 'e': 0.0507928338648985}",30,10,30.30849775442108,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.050287436723591865}",20,12,-31.38398993286818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 0.01, 'e': 0.049787068367863944}",25,11,15.172821307614583,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.04929167876046215}",20,7,22.037985378139098,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.04880121836201296}",25,17,14.031254419815959,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.01, 'e': 0.04831563812606777}",30,6,14.049493919777378,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.04783488949419837}",20,11,16.081143656507344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.04735892439114091}",25,7,30.370053151959393,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.046887695219988486}",20,7,23.7552528715459,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.01, 'e': 0.04642115485743125}",20,7,26.83840696796523,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.045959256649044204}",25,13,25.621490068320202,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.01, 'e': 0.04550195440462157}",25,3,37.770561884277534,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.01, 'e': 0.0450492023935578}",20,0,14.870233004024607,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
311,False,"{'a': 0.01, 'e': 0.044600955340274535}",30,17,17.32877710889064,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.01, 'e': 0.04415716841969286}",30,16,23.93654115837183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.01, 'e': 0.04371779725275094}",30,8,34.03135160290748,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.01, 'e': 0.043282797901965896}",20,8,7.892998479598388,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.01, 'e': 0.04285212686704019}",20,11,16.245449829481494,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.01, 'e': 0.042425741080511385}",20,6,22.535102768595756,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04200359790344555}",20,1,32.959950081308556,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.01, 'e': 0.04158565512117316}",25,12,21.504833042260334,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.01, 'e': 0.04117187093906774}",20,7,19.61717755016948,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.01, 'e': 0.04076220397836621}",20,6,27.75952839805103,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.01, 'e': 0.04035661327203115}",25,13,11.205132135934477,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.01, 'e': 0.039955058260653896}",20,0,22.453042799852728,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
323,False,"{'a': 0.01, 'e': 0.039557498788398725}",25,8,-13.64681621565667,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
324,False,"{'a': 0.01, 'e': 0.039163895098987066}",30,20,21.45706662240972,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.01, 'e': 0.03877420783172201}",20,16,6.707950847690837,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.01, 'e': 0.038388398017552054}",20,0,23.683559710202307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.01, 'e': 0.038006427075174314}",30,14,-11.26974628312434,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
328,False,"{'a': 0.01, 'e': 0.0376282568071762}",25,8,13.798338979648888,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
329,False,"{'a': 0.01, 'e': 0.03725384939621581}",25,12,10.600636676356451,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
330,False,"{'a': 0.01, 'e': 0.036883167401239994}",30,13,-13.021179078765272,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
331,False,"{'a': 0.01, 'e': 0.0365161737537404}",20,0,23.06322840107637,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
